Series Description,SPOT EXCHANGE RATE - EURO AREA ,"UNITED KINGDOM -- SPOT EXCHANGE RATE, US$/POUND (1/RXI_N.B.UK)",SPOT EXCHANGE RATE - BRAZIL ,"CHINA -- SPOT EXCHANGE RATE, YUAN/US$ P.R. ","DENMARK -- SPOT EXCHANGE RATE, KRONER/US$ ","INDIA -- SPOT EXCHANGE RATE, RUPEES/US$ ","JAPAN -- SPOT EXCHANGE RATE, YEN/US$ ","KOREA -- SPOT EXCHANGE RATE, WON/US$ ","MALAYSIA -- SPOT EXCHANGE RATE, RINGGIT/US$ ","MEXICO -- SPOT EXCHANGE RATE, PESOS/US$ ","NORWAY -- SPOT EXCHANGE RATE, KRONER/US$ ","SWEDEN -- SPOT EXCHANGE RATE, KRONOR/US$ ","SOUTH AFRICA -- SPOT EXCHANGE RATE, RAND/$US","SINGAPORE -- SPOT EXCHANGE RATE, SINGAPORE $/US$ ","SWITZERLAND -- SPOT EXCHANGE RATE, FRANCS/US$ ","TAIWAN -- SPOT EXCHANGE RATE, NT$/US$ ","THAILAND -- SPOT EXCHANGE RATE, BAHT/US$ ",SPOT EXCHANGE RATE - VENEZUELA ,Nominal Broad Dollar Index ,Nominal Major Currencies Dollar Index ,Nominal Other Important Trading Partners Dollar Index ,AUSTRALIA -- SPOT EXCHANGE RATE US$/AU$ (RECIPROCAL OF RXI_N.B.AL),"NEW ZEALAND -- SPOT EXCHANGE RATE, US$/NZ$ RECIPROCAL OF RXI_N.B.NZ ","CANADA -- SPOT EXCHANGE RATE, CANADIAN $/US$ ","HONG KONG -- SPOT EXCHANGE RATE, HK$/US$ ","SRI LANKA -- SPOT EXCHANGE RATE, RUPEES/US$ "
Unit:,Currency:_Per_EUR,Currency:_Per_GBP,Currency:_Per_USD,Currency:_Per_USD,Currency:_Per_USD,Currency:_Per_USD,Currency:_Per_USD,Currency:_Per_USD,Currency:_Per_USD,Currency:_Per_USD,Currency:_Per_USD,Currency:_Per_USD,Currency:_Per_USD,Currency:_Per_USD,Currency:_Per_USD,Currency:_Per_USD,Currency:_Per_USD,Currency:_Per_USD,Index:_1973_Mar_100,Index:_1973_Mar_100,Index:_1997_Jan_100,Currency:_Per_AUD,Currency:_Per_NZD,Currency:_Per_USD,Currency:_Per_USD,Currency:_Per_USD
Multiplier:,1,0.00999999978,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Currency:,USD,USD,BRL,CNY,DKK,INR,JPY,KRW,MYR,MXN,NOK,SEK,ZAR,SGD,CHF,TWD,THB,VEB,,,,USD,USD,CAD,HKD,LKR
Unique Identifier: ,H10/H10/RXI$US_N.B.EU,H10/H10/RXI$US_N.B.UK,H10/H10/RXI_N.B.BZ,H10/H10/RXI_N.B.CH,H10/H10/RXI_N.B.DN,H10/H10/RXI_N.B.IN,H10/H10/RXI_N.B.JA,H10/H10/RXI_N.B.KO,H10/H10/RXI_N.B.MA,H10/H10/RXI_N.B.MX,H10/H10/RXI_N.B.NO,H10/H10/RXI_N.B.SD,H10/H10/RXI_N.B.SF,H10/H10/RXI_N.B.SI,H10/H10/RXI_N.B.SZ,H10/H10/RXI_N.B.TA,H10/H10/RXI_N.B.TH,H10/H10/RXI_N.B.VE,H10/H10/JRXWTFB_N.B,H10/H10/JRXWTFN_N.B,H10/H10/JRXWTFO_N.B,H10/H10/RXI$US_N.B.AL,H10/H10/RXI$US_N.B.NZ,H10/H10/RXI_N.B.CA,H10/H10/RXI_N.B.HK,H10/H10/RXI_N.B.SL
Time Period,RXI$US_N.B.EU,RXI$US_N.B.UK,RXI_N.B.BZ,RXI_N.B.CH,RXI_N.B.DN,RXI_N.B.IN,RXI_N.B.JA,RXI_N.B.KO,RXI_N.B.MA,RXI_N.B.MX,RXI_N.B.NO,RXI_N.B.SD,RXI_N.B.SF,RXI_N.B.SI,RXI_N.B.SZ,RXI_N.B.TA,RXI_N.B.TH,RXI_N.B.VE,JRXWTFB_N.B,JRXWTFN_N.B,JRXWTFO_N.B,RXI$US_N.B.AL,RXI$US_N.B.NZ,RXI_N.B.CA,RXI_N.B.HK,RXI_N.B.SL
1971-01-04,,2.3938,,,7.4850,,357.7300,,3.0867,,7.1359,5.1643,,,4.3180,,,,,,,1.1127,1.1138,1.0109,,
1971-01-05,,2.3949,,,7.4872,,357.8100,,3.0861,,7.1422,5.1628,,,4.3117,,,,,,,1.1132,1.1143,1.0102,,
1971-01-06,,2.3967,,,7.4839,,357.8600,,3.0845,,7.1367,5.1614,,,4.3113,,,,,,,1.1140,1.1151,1.0106,,
1971-01-07,,2.3963,,,7.4850,,357.8700,,3.0850,,7.1386,5.1649,,,4.3103,,,,,,,1.1138,1.1150,1.0148,,
1971-01-08,,2.3972,,,7.4850,,357.8200,,3.0845,,7.1382,5.1631,,,4.3109,,,,,,,1.1124,1.1154,1.0154,,
1971-01-11,,2.3992,,,7.4850,,357.9500,,3.0814,,7.1390,5.1642,,,4.3102,,,,,,,1.1152,1.1163,1.0159,,
1971-01-12,,2.4001,,,7.4849,,358.0600,,3.0807,,7.1411,5.1643,,,4.3099,,,,,,,1.1156,1.1167,1.0130,,
1971-01-13,,2.4021,,,7.4812,,358.4400,,3.0782,,7.1390,5.1615,,,4.3095,,,,,,,1.1165,1.1177,1.0122,,
1971-01-14,,2.4071,,,7.4844,,358.4000,,3.0750,,7.1403,5.1625,,,4.3095,,,,,,,1.1189,1.1200,1.0133,,
1971-01-15,,2.4057,,,7.4839,,358.4000,,3.0764,,7.1414,5.1640,,,4.3076,,,,,,,1.1182,1.1193,1.0135,,
1971-01-18,,2.4052,,,7.4836,,358.2900,,3.0755,,7.1406,5.1651,,,4.3029,,,,,,,1.1179,1.1191,1.0126,,
1971-01-19,,2.4081,,,7.4836,,358.3500,,3.0719,,7.1429,5.1657,,,4.3006,,,,,,,1.1193,1.1205,1.0111,,
1971-01-20,,2.4080,,,7.4833,,358.4000,,3.0725,,7.1429,5.1636,,,4.3010,,,,,,,1.1193,1.1204,1.0115,,
